Product URL,Product Name,Product Price,Rating,Number of Reviews
/Tetley-Green-Lemon-Honey-Bags/dp/B00MGFZGVK,"Tetley Green Tea, Lemon And Honey, 100 Tea Bags, 140 Grams",421,4.3 out of 5 stars,Ginger
/Half-Moon-Laptop-Backpack-Polyester/dp/B09CMS3K2S,Half Moon 30L Water Resistant 15.6 inch Laptop Bag/Backpack for Men | School Bag for Boys Girls | Office Bag pack for Men/Office Back Packed for Women with Padded Laptop Compartment,459,3.6 out of 5 stars,113
/Impulse-Diggy-Backpack-Resistant-Green/dp/B0CJHVCZZV,Impulse Diggy 35L Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack Water Resistant Fits Up to 16 Inch Laptop with 1 Year Warranty,399,4.0 out of 5 stars,22
/Bennett-Polyester-Drax-Ultrabook-Surfacepro/dp/B091NZ9MYB,Bennett Khadi and Polyester Drax Laptop Bag Sleeve Case Cover Pouch for 15/15.6 inches Laptop Apple/Dell/Lenovo/ASUS/Hp/Samsung/Mi/MacBook/Ultrabook/Thinkpad/Idea Pad/Surfacepro for Laptops (Blue),257,4.1 out of 5 stars,"4,352"
/Killer-Backpack-Compartments-Polyester-Waterproof/dp/B07CDD6YS2,KILLER Louis 38L Large Laptop Backpack With 3 Compartments Polyester Trendy Waterproof Travel Backpack,"1,749",4.4 out of 5 stars,"9,470"
/Amazon-Brand-Presto-Oxo-Biodegradable-Garbage/dp/B0821PYKVK,"Presto! Oxo-Biodegradable Garbage Bags, Large (24 x 32 inches) - 15 bags/roll (Pack of 6, Black, plastic)",299,4.3 out of 5 stars,"10,324"
/Red-Lemon-Ironlook-Briefcase-Anti-Theft/dp/B09ZYMT7V1,Red Lemon Bange Hard Ironlook Briefcase Laptop Bag Anti-Theft Hard Shell Unisex Laptop Backpack with USB Charging Backpack for Men and Women,"4,897",4.4 out of 5 stars,117
/Right-Choice-Stylish-College-Backpack/dp/B07ZVXDHCK,RIGHT CHOICE quality stylish casual backpack daily use unisex typography college bags (Boys and Girls),299,3.5 out of 5 stars,"1,013"
/AmazonBasics-Vacuum-Compression-Storage-Medium/dp/B07RTJV6G4,"amazon basics Vacuum Compression Storage Bags with Hand Pump - Medium, 5-Pack",499,4.4 out of 5 stars,"7,817"
/Amazon-Brand-Presto-Oxo-Biodegradable-Garbage/dp/B0821QGBDY,"Presto! Oxo-Biodegradable Garbage Bags, XL (30 x 37 inches) - 10 bags/roll (Pack of 6, Black, plastic)",389,4.3 out of 5 stars,"2,111"
/TRUE-Emperor-Anti-Theft-backpack-charging/dp/B0BYB631NR,"TRUE HUMAN® Emperor Anti-Theft Pocket backpack With USB charging Port Laptop,office,college,travel bag for men and women(Epower)",499,3.7 out of 5 stars,462
/Tabelito-NEO-Backpack-Business-Compartment/dp/B0C2D2Q52R,"Tabelito® NEO 3O L Water Resistant Laptop/College/Office/School/Travel/Business Bag, Unisex Backpack for Men Women Fits Up to 15.6 Inch Laptop Notebook.",349,3.8 out of 5 stars,295
/Wildcraft-ltrs-Cms-backpack-204493566_black/dp/B07GNGG435,Wildcraft 18 ltrs (7 Cms) backpack(204493566_black),"2,095",4.1 out of 5 stars,189
/Murano-Casual-daybackpack-Office-College/dp/B0BX9GLFD6,Murano Louis 10ltr Casual daybackpack/Office & Travel Bag/School Bag/College Bag/Men/Women/Girl/Boy (Dark Grey),189,3.4 out of 5 stars,143
/Half-Moon-Laptop-Bag-Compartment/dp/B0C1NZLF67,Half Moon Valex Unisex School Bag/ 15.6 inch Laptop Backpack/College Bagpack/Office Back Packed | Laptop Bag for Men Women | School Bags for Boys & Girls with Small Pockets & Laptop Compartment,549,3.7 out of 5 stars,163
/HARISSONS-15-6-inch-Backpack-Organizers-Detachable/dp/B07M5P5LW3,"HARISSONS Bags Vervo 15.6-inch Laptop/Travel/Casual Backpack for Men and Women with Rain Cover (Black, 40 Ltrs) | Quick Access Zippered Pocket, Detailed Organizers & a Detachable Key Chain Holder","2,583",4.4 out of 5 stars,"2,025"
